five_digit_FIPS_code,Total People with Insurance
13073,139660
13087,25776
13115,94340
13117,210703
13137,41951
13147,24722
13185,108833
13191,13941
13199,21038
13207,25647
13237,21260
13261,29786
13265,1844
13301,5336
13007,3251
13029,33781
13035,20914
13043,10621
13039,48460
13045,113725
13079,12233
13099,10255
13081,22589
13069,39620
13077,137378
13067,734497
13123,29413
13083,16085
13297,87884
13317,9809
13027,15564
13091,19187
13129,55913
13105,19061
13057,234834
13113,109570
13165,8852
13177,28257
13217,104152
13227,30107
13133,16566
13071,45329
13075,17079
13085,23182
13141,6021
13063,270576
13121,1001021
13139,191800
13187,31283
13189,21098
13201,5722
13211,17838
13149,11458
13219,35778
13095,89580
13111,24327
13151,216285
13153,146927
13175,46458
13183,17064
13255,63180
13257,25619
13271,13035
13291,21757
13293,25695
13303,18795
13311,28317
13225,26928
13223,151710
13229,18993
13231,17671
13245,191995
13251,13645
13267,19121
13019,18757
13295,67252
13135,884817
13013,74958
13049,11868
13065,6688
13015,101698
13097,138979
13131,24860
13161,14911
13209,8536
13221,14503
13243,7090
13247,87695
13299,33350
13305,27735
13309,6121
13315,6829
13009,43600
13011,18359
13031,72880
13059,122682
15001,194927
15003,941301
15009,162735
15007,70326
15005,77
16071,4253
16031,23123
16045,16717
16063,5248
16085,10026
16003,3919
16041,13083
16069,39392
16053,22919
16055,148871
16061,3780
16067,20371
16083,81298
16073,11256
16013,21557
16015,6944
16021,11245
16023,2572
16029,6793
16047,15024
16001,428436
16005,82996
16007,5904
16011,45076
16019,109149
16025,886
16027,205466
16035,7535
16051,27376
16057,38531
16037,4115
16059,7680
16075,22694
16009,8966
16017,41541
16033,1055
16039,23957
16043,12337
16065,38032
16079,12327
16049,15648
16081,10776
16077,7608
16087,9863
17067,18086
17119,263563
17063,50055
17091,108546
17131,15545
17043,925989
17167,196077
17003,6642
17129,12264
17157,28914
17137,32406
17031,5192360
17141,51134
17115,105020
17177,45092
17191,16528
17193,13848
17203,38365
17055,38825
